Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
20/04/2024 14.28.49,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,No,,"Console, Smartphone /Tablet",,"God of War (saga Greca), Age of Empire",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.29.25,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Dipende (specifica),,No,,"PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,No,No,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 14.31.21,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.32.12,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,No,,No,,PC,,Nessuno,,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi non videogioca
20/04/2024 14.32.12,Uomo,Generazione Z (1997-2012),formazione professionalizzante,2-3 ore,Entrambi,,Si,,Si,,"Console portatili, Smartphone /Tablet",,Altro (specifica),"Heart of Iron, anche se ero appassionato di storia già da prima",Si,,Mi astengo dal giudizio,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.32.47,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,No,,PC,,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 14.33.27,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Assassin's Creed,"Console, Console portatili, PC, VR, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.35.03,Donna,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Qualsiasi gioco giocato in inglese,PC,,Nessuno,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.35.34,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,"Assassin's Creed (la saga), Hearts of Iron (la saga), ecc. ","Console, Cloud, Console portatili, PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.35.41,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,La saga di Assassin's Creed è stata utile nel periodo di elementari e medie.,"Console, PC",,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.36.15,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,Si,Minecraft-Inglese,Console,,Assassin's creed (saga),,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
20/04/2024 14.36.37,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), Age of Empire, Altro (specifica)",Pentiment,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 14.38.07,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Minecraft ,PC,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 14.38.19,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.38.25,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Dipende (specifica),"I videogiochi narrativi con scelte multiple, non fate per il puro divertimento ma per lasciare un messaggio sono una forma d'arte",No,,PC,,Nessuno,,Si,,Dipende (specifica),"Molti videogame, specie quelli altamente competitivi, possono creare un ambiente stressante e tossico per i novizi perché presi in giro ma anche per i veterani per avere la pressione di essere sempre in cima agli altri. Tuttavia, giochi cooperativi e meno competitivi come degli mmorpg e giochi pensati da fare in gruppo (among us, lethal company) possono riuscire nell'intento. ",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 14.38.26,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Non saprei,,PC,,Nessuno,,Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.38.44,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,No,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,No,,No,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.38.56,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire, Ryse son of rome",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 14.40.26,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Pikmin (da 1 a 4); allena il time management,"Console, Console portatili, Smartphone /Tablet",,Nessuno,,Si,,Dipende (specifica),"Sì ma sono più ""efficaci"" in locale che online",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.42.07,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Console, PC",,Age of Empire,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 14.42.27,Uomo,Millennials (1981-1996),Laurea o superiore,Mai,Single player,,No,,No,,"PC, Smartphone /Tablet",,Nessuno,,Si,,No,,No,No,No non gioco ai videogiochi,,Si,No,Meno di una volta a settimana,No,Non gioco ai videogiochi,Non ho preferenze
20/04/2024 14.42.34,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Single player,,Dipende (specifica),"I singoli elementi di un videogioco (come la musica, concept art, design dei personaggi, etc.) sono elementi artistici, ma il videogioco è un prodotto d'intrattenimento.",No,,PC,,"Assassin's creed (saga), God of War (saga Greca)",,No,,No,,Si,Si,Si ho imparato un'altra lingua,,No,Si,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 14.43.05,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Shenzhen IO, ma soprattutto gli strategici in tempo reale","Console portatili, PC",,"Assassin's creed (saga), Altro (specifica)","Caesar 3, age of empires, Tomb Raider",Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 14.45.03,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.45.03,Donna,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,No,,"Console, Console portatili, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Dipende (Specifica),Dipende dall'accuratezza dei contenuti,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Preferisco la compagnia di chi videogioca
20/04/2024 14.45.05,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,Si,Pokemon,PC,,"Hades, Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
20/04/2024 14.45.23,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,Console,,"God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.45.37,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,Nessuno,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.45.57,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,No,,No,,"Console, PC",,Assassin's creed (saga),,Si,,Si,,No,No,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 14.46.30,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.46.45,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Hades",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.49.04,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,"come in tutti i media, la stragrande maggioranza dei titoli sono prodotti, solo alcuni sono arte. in generale, i videogiochi sono una forma d'arte",Si,Dark Souls,"Console, Console portatili",,Nessuno,,Si,,Si,"Si, possono. la parasocialita di queste relazioni però può diventare un problema ",L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 14.49.05,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Si,,Si,Minecraft e Age of mythology ,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of war (saga norrena), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 14.49.29,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Civ 6,"PC, VR",,"Assassin's creed (saga), Sid Meier's Civilization",,Dipende (Specifica),"Dipende da gioco a gioco, alcuni giochi sono fatti per essere diseducativi, poi dipende molto dallo scopo formativo e in che ambito, dipende molto da situazione a stuazione",Si,,L'ho fatto,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.49.51,Preferisco non specificarlo,Baby boomers (1946-1964),Licenza elementare,7>,Entrambi,,Si,,No,,"Console, Cloud, Console portatili, PC, VR, Smartphone /Tablet, Non gioco ai Videogiochi, Altro",Altro,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Age of Empire, Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising, Altro (specifica), Nessuno",Altro,Si,,Si,,Si,Si,No non gioco ai videogiochi,,Si,Si,Si tutti i giorni,Si,Si,Non gioco ai videogiochi
20/04/2024 14.50.01,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Assassins Creed - Storia / Nostalgia,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.50.34,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console portatili, PC",,Nessuno,,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.51.40,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,PC,,"Sid Meier's Civilization, Altro (specifica)",Hearts of iron 4,Si,,Si,,L'ho fatto,No,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 14.52.42,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console portatili, VR",,Sid Meier's Civilization,,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,No,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.53.47,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"PC, Smartphone /Tablet",,Nessuno,,Dipende (Specifica),Dubito che un gioco tipo GTA possa essere adatto allo scopo,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 14.54.17,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,Assassin's creed (saga),,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.54.21,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, PC, Smartphone /Tablet",,"God of war (saga norrena), Sid Meier's Civilization",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.54.46,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,Fallout New Vegas,PC,,"Assassin's creed (saga), Altro (specifica)",Metro 2033,Dipende (Specifica),"Dipende dal videogioco. Per esempio Assasin's creed potrebbe essere utilissimo per gli studenti di Architettura/ Storia. Mentre i giochi come call of duty, secondo me, non hanno tanto valore culturale/istruttivo,  tranne che la possibilità di socializzare con gli altri.",Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.56.03,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Mi astengo dal giudizio,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.56.31,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Uncharted,"Console, Console portatili, PC",,"God of War (saga Greca), God of war (saga norrena), Ryse son of rome",,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.56.48,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Non saprei,,PC,,Nessuno,,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
20/04/2024 14.58.01,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Si,"SimCity/cities Skyline, poly bridge","Console, PC",,"Assassin's creed (saga), Altro (specifica)","Serie Total war, Europa universalis",Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 14.58.20,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 15.00.18,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Multiplayer Online,,No,,No,,PC,,Nessuno,,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 15.01.38,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Dipende (specifica),Dipende dal gioco.,No,,Console,,God of War (saga Greca),,Si,,Dipende (specifica),Dipende dal gioco.,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 15.02.07,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Dipende (specifica),"I mondi creati per esempio negli RPG possono essere messi sullo stesso piano di mondi creati nei libri e nei film, come tanti altri aspetti. Senza dubbio hanno un impatto culturale paragonabile sia a film che libri che altre forme d'arte",Non saprei,,PC,,"Assassin's creed (saga), Sid Meier's Civilization",,Si,,Dipende (specifica),"Le connessioni online non possono essere messe sullo stesso piano di connessioni ""fisiche"". Certamente se dall'online si passa al mondo reale questo puó aiutare ad instaurare rappori",No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 15.02.30,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,PC,,Assassin's creed (saga),,Dipende (Specifica),Dipende dal tipo di videogioco e sulle informazioni su cui si è basato lo sviluppo,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 15.02.55,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Nessuno,,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 15.03.15,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Non saprei,,PC,,"Assassin's creed (saga), God of War (saga Greca), Ryse son of rome",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 15.04.54,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Ryse son of rome",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 15.05.19,Donna,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,PC,,Nessuno,,Si,,Si,,No,No,No non ho imparato un altra lingua,,Si,No,Meno di una volta a settimana,No,No,Non ho preferenze
20/04/2024 15.07.48,Preferisco non specificarlo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,"Console, PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,No,No,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 15.08.13,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Si,Human Resource Machine,PC,,"Assassin's creed (saga), God of war (saga norrena), Hades, Age of Empire, Altro (specifica)","Okami, Hellblade: Senua's Sacrifice, Sniper Elite, Valiant Hearts",Si,,Dipende (specifica),"La presenza di uno spazio sociale/cooperativo esclusivo o adiacente ad uno spazio competitivo all'interno di un gioco facilità l'interazione positiva con gli altri utenti. La presenza esclusiva di uno spazio competitivo porta, in molti casi, ad interazioni negative che coesistono con le interazioni positive. La crescita di una comunità all'interno stesso del gioco è difficilmente prevedibile a priori, analizzando la tipologia stessa del gioco; è spesso necessario osservare le interazioni tra giocatori solo dopo che la comunità si è consolidata.",Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 15.08.19,Donna,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,"Console, PC",,Assassin's creed (saga),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,No,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 15.08.23,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,4-6 ore,Single player,,Si,,No,,Console,,"Assassin's creed (saga), God of war (saga norrena), Age of Empire",,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Preferisco la compagnia di chi videogioca
